! Synthetic meteorological forcing — North Sea 59°N, 2000-2001
! Columns: datetime  u10[m/s]  v10[m/s]  airt[°C]  hum[%]  cloud[-]  swr[W/m²]
2000-01-01 00:00:00    7.892   -0.013    5.30   88.0  0.640    26.30
2000-01-02 00:00:00    7.916    0.289    5.37   88.0  0.637    26.77
2000-01-03 00:00:00    7.915   -0.332    5.44   88.0  0.635    27.28
2000-01-04 00:00:00    8.150    0.074    5.51   88.0  0.632    27.82
2000-01-05 00:00:00    7.880    0.226    5.58   88.0  0.629    28.41
2000-01-06 00:00:00    8.109    0.576    5.65   88.0  0.627    29.03
2000-01-07 00:00:00    8.324    0.294    5.73   88.0  0.624    29.69
2000-01-08 00:00:00    7.629   -0.011    5.81   88.0  0.622    30.38
2000-01-09 00:00:00    8.123    0.718    5.88   88.0  0.619    31.12
2000-01-10 00:00:00    8.021    0.322    5.96   88.0  0.617    31.90
2000-01-11 00:00:00    8.265   -0.056    6.04   88.0  0.614    32.72
2000-01-12 00:00:00    7.842    0.552    6.13   88.0  0.612    33.59
2000-01-13 00:00:00    8.433    0.354    6.21   88.0  0.609    34.49
2000-01-14 00:00:00    8.181    0.520    6.29   88.0  0.607    35.44
2000-01-15 00:00:00    8.380    0.128    6.38   88.0  0.604    36.44
2000-01-16 00:00:00    8.268    0.021    6.47   88.0  0.602    37.47
2000-01-17 00:00:00    6.668    0.304    6.55   87.9  0.600    38.56
2000-01-18 00:00:00    7.514    0.757    6.64   87.9  0.597    39.69
2000-01-19 00:00:00    8.296    0.133    6.73   87.9  0.595    40.86
2000-01-20 00:00:00    8.380    0.199    6.83   87.9  0.592    42.08
2000-01-21 00:00:00    7.904    0.410    6.92   87.9  0.590    43.35
2000-01-22 00:00:00    7.994    0.739    7.01   87.8  0.588    44.67
2000-01-23 00:00:00    8.245    0.591    7.11   87.8  0.585    46.04
2000-01-24 00:00:00    8.239    0.619    7.20   87.8  0.583    47.45
2000-01-25 00:00:00    7.588    0.247    7.30   87.8  0.581    48.92
2000-01-26 00:00:00    7.653    0.595    7.40   87.7  0.578    50.43
2000-01-27 00:00:00    7.748    1.127    7.49   87.7  0.576    52.00
2000-01-28 00:00:00    7.448    0.075    7.59   87.7  0.574    53.62
2000-01-29 00:00:00    8.226    0.807    7.69   87.6  0.572    55.28
2000-01-30 00:00:00    8.078    0.604    7.80   87.6  0.569    57.00
2000-01-31 00:00:00    8.520    0.297    7.90   87.6  0.567    58.78
2000-02-01 00:00:00    7.077    0.134    8.00   87.5  0.565    60.60
2000-02-02 00:00:00    8.246   -0.172    8.10   87.5  0.563    62.47
2000-02-03 00:00:00    7.766    0.303    8.21   87.4  0.561    64.40
2000-02-04 00:00:00    7.570    0.408    8.31   87.4  0.559    66.38
2000-02-05 00:00:00    7.996    0.851    8.42   87.3  0.557    68.42
2000-02-06 00:00:00    7.993   -0.066    8.52   87.3  0.555    70.50
2000-02-07 00:00:00    7.379   -0.171    8.63   87.2  0.553    72.64
2000-02-08 00:00:00    8.112   -0.131    8.74   87.2  0.551    74.83
2000-02-09 00:00:00    7.576    0.225    8.84   87.1  0.549    77.08
2000-02-10 00:00:00    7.223   -0.127    8.95   87.1  0.547    79.38
2000-02-11 00:00:00    6.638   -0.403    9.06   87.0  0.545    81.73
2000-02-12 00:00:00    7.247    0.008    9.17   87.0  0.543    84.13
2000-02-13 00:00:00    8.100   -0.160    9.28   86.9  0.542    86.58
